观点	频次
舒适度很好	173
性价比很不错	172
舒适性挺好	172
操控方便	170
隔音效果好	170
内饰还不错	170
空间不够	169
油耗略高	169
外形满意	169
转向灵活	168
操作很方便	168
尺寸大	168
动力很强	168
车身线条流畅	167
提速挺快	167
悬挂太硬	167
油耗还不错	166
后排很舒服	166
动力肉	166
指向准确	164
性能好	164
价格不高	164
材质塑料	163
底盘很扎实	162
后排舒服	162
刹车不错	162
中控台软	161
方向盘不错	161
隔音效果很好	161
空调好	160
起步比较肉	160
外观非常漂亮	159
后排不错	159
发动机声音有点大	159
回头率超高	159
大灯喜欢	159
后排不拥挤	159
后备箱满意	158
方向盘重	158
起步较肉	158
方向盘适中	157
后排不挤	157
故障大	156
味道有点大	156
噪音小	155
油耗比较高	155
车漆太薄	155
操控容易	154
胎噪较大	154
前脸好看	154
外观耐看	154
性价满意	154
动力偏弱	153
减震较硬	153
噪音太大	152
噪音较大	152
内饰还行	152
动力有点弱	151
外观挺好看	151
刹车很好	151
后备箱太小	150
空间最大	150
噪音很小	149
外形时尚	149
颜值爆表	149
座椅有点硬	149
乘坐舒服	149
底盘好	148
造型喜欢	148
动力没得说	147
座椅大	147
空间较满意	147
内饰硬	147
风噪有点大	147
内饰很喜欢	147
轮胎大	147
指向性很好	146
价位不错	146
发动机噪音大	145
座椅满意	144
车身很稳	144
后排有点挤	143
性能很好	143
配置够用	142
配置低	142
方向盘喜欢	142
减震很好	142
动力有点肉	142
动力非常好	141
发动机不错	141
内空间大	141
后排很大	141
配置鸡肋	140
车身高	140
避震偏硬	139
异响小	139
内饰大	139
动力担心	138
性价比很好	138
底盘很整	137
动力差	137
悬架舒适	136
空间挺好	136
细节小	136
空间比较宽敞	135
操控满意	135
前脸大	134
外观非常满意	134
噪音很大	134
视野很好	133
噪音比较大	133
油耗还好	133
外形喜欢	133
性价很不错	133
油耗稳定	133
价格便宜	132
动力绝对够用	132
质量不错	131
座椅宽大	131
外观帅气	131
座椅很强	131
内饰很大	130
中控台塑料	130
外形好看	130
后备箱空间足够	130
油耗相当满意	130
座椅比较舒服	129
悬挂较硬	129
性价比没得说	129
马力最大	128
安全性高	128
空间还好	128
噪音控制不错	127
发动机好	126
储物空间够用	126
胎噪很大	126
动力很充足	124
造型时尚	124
隔音不好	124
外观比较满意	123
后排挤	123
空间特别大	123
后排拥挤	123
空间非常不错	123
中控塑料	123
做工很精细	122
后备箱不错	122
方向盘很灵活	122
后备箱空间挺大	121
方向盘手感很好	121
动力不行	120
地盘高	120
方向盘灵活	120
静音效果不错	120
乘坐不错	120
外形漂亮	119
提速有点慢	119
悬挂不错	119
座椅非常好	118
悬架偏软	118
指向性不错	118
操控舒适	118
操控很灵活	118
外观非常喜欢	118
手感很不错	117
指向清晰	117
空间挺宽敞	116
价位高	115
配置挺高	115
空间不是很大	115
后备箱空间不错	115
后排小	115
视线好	114
胎噪太大	114
加速慢	114
减震满意	114
动力喜欢	114
线条优美	113
中控硬	113
外观没话说	113
转速低	113
乘坐大	113
性价比较高	113
配置很满意	112
胎噪满意	112
风噪大	112
起步较慢	112
样式新颖	112
油耗不低	112
油耗惊喜	111
减震好	111
过弯很稳	111
座椅还不错	110
内饰挺好	110
内部空间大	110
配置想要	110
空间紧凑	110
中控满意	110
手感非常好	109
底盘很好	109
用料厚道	109
异响轻微	109
空间非常宽敞	109
尾灯喜欢	109
转向不错	109
乘坐很舒适	108
路感很清晰	108
音响效果不错	108
外观很不错	108
座椅较舒服	108
后备箱空间够用	108
扭矩最大	107
配置比较高	107
价格贵	107
油耗很好	107
性价没得说	107
空间太小	106
操控很舒服	106
悬挂偏软	106
方向盘很轻松	106
颜值超高	106
线条很流畅	105
性价比蛮高	105
起步很肉	105
配置很好	105
造型不错	105
安全系数高	105
味道很大	105
胎噪比较大	105
用料高档	105
价格低	104
动力挺好	104
性价比还行	104
中控软	104
操控喜欢	104
内饰没得说	104
乘坐很舒服	104
前排不错	103
减震比较硬	103
动力还好	103
油耗挺低	102
座椅非常舒适	102
起步顿挫	102
内饰最满意	102
内饰很好看	102
动力很快	102
档位低	101
做工很细致	101
价位很不错	101
配置很不错	101
中控台硬	101
做工还行	101
做工很不错	101
储物空间大	101
换挡没有顿挫	101
舒适性非常好	100
性价比不高	100
空间挺满意	100
隔音满意	99
方向盘大	98
变速箱顿挫	98
减震不好	98
舒适性满意	98
方向盘很稳	98
真皮座椅很舒服	97
配置喜欢	97
空间没话说	97
后排足够	97
空调大	97
座椅很柔软	97
座椅还行	96
音响不错	96
后排喜欢	96
内饰很豪华	95
省油好	95
变速箱不错	95
提速杠杠	95
噪音满意	95
外观还行	95
发动机够用	95
价格适中	95
轮毂喜欢	95
内饰干净	94
悬架较硬	94
性价比还不错	94
做工细致	94
样子喜欢	94
悬挂适中	94
材质不错	94
质量好	94
油耗不是很高	94
加速很好	94
空间充裕	93
悬架太硬	93
价格好	93
动力想要	93
油耗理想	92
空间挺不错	92
性价蛮高	92
舒适度好	92
轮胎好	92
性价很好	92
发动机噪音有点大	92
座椅挺好	92
空间更大	92
外观挺漂亮	92
用料很好	92
同价位好	91
内饰高级	91
性价比好	91
舒适性没得说	91
动力不高	91
刹车好	91
操控很棒	91
储物空间不错	90
前排还好	90
动力稍弱	90
加速挺快	89
悬架不错	89
内饰精美	89
起步平稳	89
悬挂比较硬	89
后排很少	89
用料扎实	89
底盘满意	89
配置较高	89
稳定性很好	88
做工很精致	88
方向盘很舒服	88
油耗稍高	88
外观犀利	88
空间高	88
提速较慢	88
噪音控制很好	87
发动机动力不错	87
隔音还不错	87
动力高	87
隔音很不错	87
外观很好	87
音质不错	86
刹车偏软	86
加速平稳	86
用料好	86
舒适性较好	85
外观小	85
颜值不错	85
前脸时尚	85
质感好	85
中控好	85
后备箱好	85
发动机满意	85
座椅比较软	85
动力非常不错	84
外观靓丽	84
座椅很大	84
操控轻松	84
外观较满意	84
排量够用	84
油耗挺高	84
配置良心	83
空间不足	83
外观好	83
空间合适	83
发动机抖动	83
价位好	83
动力差点	82
座椅强	82
稳定性好	82
离合顿挫	82
后排舒适	82
中控不错	82
内饰高档	81
外形大气	81
转向很好	81
后排还好	81
隔音不是很好	81
悬架比较硬	81
动力有点不足	81
隔音差	81
前脸漂亮	81
空间喜欢	81
后备箱偏小	81
后备箱空间小	81
车头霸气	80
外观比较喜欢	80
隔音还行	80
导航不好	80
前脸很大	80
离合好	80
内饰比较满意	80
气味大	80
方向盘抖动	80
内饰满分	80
性价比更高	79
尾灯很漂亮	79
起步挺快	79
动力比较满意	79
油耗慢慢	79
操控很满意	79
后备箱空间有点小	79
后备箱略小	79
操作容易	79
操控还好	79
动力较弱	79
储物空间充足	78
价格不错	78
发动机低	78
动力小	78
动力最满意	78
外观非常好看	78
性价比无敌	78
味道塑料	78
座椅很不错	78
配置最高	77
用料良心	77
造型好看	77
操控很方便	77
声音很小	77
颜值喜欢	77
外观还不错	77
方向盘合适	77
方向盘舒服	76
底盘稳	76
发动机高	76
后备箱空间够	76
大灯很漂亮	76
空间较小	76
前排舒服	76
用料实在	76
风格时尚	76
座椅合适	76
做工还不错	76
空间宽大	76
性价相当高	75
内饰很精致	75
乘坐够用	75
内饰挺不错	75
加速够用	75
异味很大	75
中控很大	75
舒适性差点	75
操控很轻松	75
油耗还低	75
外观颜值高	75
品质高	75
屏幕很大	75
性价比相当高	75
大灯不够	75
加速顿挫	74
导航好	74
尾部喜欢	74
外观挺满意	74
舒适性高	74
路感很好	74
线条硬朗	73
后排太高	73
稳定性不错	73
加速杠杠	73
转向很轻松	73
大灯好	73
空间很足	73
油耗有些高	73
方向盘轻松	73
油耗稍微高	73
动力挺足	73
细节很好	72
座椅特别舒服	72
车身满意	72
车头喜欢	72
空间富裕	72
空间很够用	72
底盘担心	72
舒适性非常不错	72
异味很小	72
性价比特别高	71
故障小	71
转向轻松	71
刹车有点软	71
天窗小	71
座椅最高	71
方向盘轻巧	71
底盘太硬	71
内饰非常满意	71
动力平稳	70
空间相当满意	70
空间很充裕	70
舒适性挺不错	70
颜色好看	70
隔音挺好	70
油耗小	70
味道太大	70
座椅硬	70
内饰很棒	70
方向盘很轻巧	70
造型独特	70
性价还行	70
静音效果很好	70
外观设计时尚	69
声音小	69
避震硬	69
做工精良	69
车灯喜欢	69
前排很好	69
空间巨大	69
油耗最高	69
前排很宽敞	69
尾灯漂亮	69
仪表软	69
舒适度高	69
地盘扎实	69
声音比较大	68
动力挺不错	68
减震有些硬	68
风格大气	68
舒适度还行	68
起步不错	68
腿部空间大	68
前脸犀利	68
中控大气	67
方向盘舒适	67
视野不错	67
声音较大	67
中控台喜欢	67
中控简洁	67
刹车很稳	67
配置非常高	67
内饰高大	67
空间略小	67
外观高	67
外观设计喜欢	67
动力很棒	67
油耗不准	67
腿部空间很大	67
配置够	66
动力非常满意	66
前排舒适	66
操控非常好	66
声音太大	66
配置超高	66
方向盘偏重	66
空间很宽裕	66
成本低	66
用料很厚道	66
异响严重	66
油耗挺不错	66
方向盘不重	66
悬挂舒适	66
噪音低	65
车身小	65
储物空间小	65
变速箱好	65
车身大气	65
底盘较高	65
空间相当大	65
座椅不舒服	65
内饰还好	65
运动感很强	65
座椅挺舒适	65
座椅比较舒适	64
手动挡喜欢	64
悬架很好	64
空间太大	64
外观设计满意	64
内饰很时尚	64
大灯满意	64
腿部空间足够	64
外观最大	64
噪音很好	64
发动机大	64
腿部空间充足	64
空调舒服	64
车身较大	64
转向准确	64
动力方面够用	64
外观设计不错	64
容积很大	64
后排有点小	64
空间杠杠	63
舒适性差	63
噪音不错	63
空间较宽敞	63
座椅舒适度很好	63
做工粗糙	63
隔音效果不是很好	63
舒适性很满意	63
操控挺不错	63
空间非常好	63
做工满意	63
路感不错	63
操控较好	63
操控良好	63
减震还行	62
后备箱空间超大	62
减震不是很好	62
前排大	62
前排还行	62
起步有些肉	62
后备箱较大	62
新车味道有点大	62
外观完美	62
颜值吸引	62
价位满意	62
轴距大	61
前排很舒服	61
配置满足	61
倒挡不好	61
隔音效果不好	61
避震有点硬	61
起步稍慢	61
车身好	61
日间行车灯喜欢	61
过弯信心	61
底盘较硬	61
内饰较满意	61
异味好	61
性价最好	60
悬挂满意	60
起步容易	60
视野宽阔	60
空间很舒服	60
加速有点慢	60
操控非常不错	60
起步大	60
外观十足	60
内饰完美	60
底盘低	60
乘坐好	60
座椅美	60
发动机声音很大	60
配置挺丰富	59
内空间很大	59
座椅宽敞	59
刹车不重	59
用料足	59
动力太弱	59
座椅不够	59
方向盘小	59
中控超大	59
用料很不错	59
起步满意	59
前排宽敞	59
风格很喜欢	59
外观稳重	59
转弯很稳	59
前脸很霸气	59
动力稍不足	59
配置较丰富	59
用料很良心	58
性价好	58
前排够用	58
安全性好	58
价位不高	58
乘坐满意	58
省油省心	58
乘坐宽敞	58
外观较大	58
异味较大	58
回头率挺高	58
真皮座椅不错	58
加速还行	58
外观很耐看	58
减震差	58
做工挺好	58
空间不少	58
起步好	57
油耗担心	57
大灯漂亮	57
倒车影像很清晰	57
后排够	57
悬架适中	57
加速好	57
动力低	57
操作轻松	57
后排高	57
舒适度还不错	57
外观比较大气	57
内饰用料不错	57
车身很大	57
座椅高	57
动力没话说	57
座椅较舒适	57
提速很好	57
质感很不错	57
加速喜欢	57
减震很不错	57
宽度不够	57
油耗不好	57
内饰十足	57
后备箱不少	57
细节不错	57
悬架好	57
中控很漂亮	57
座椅蛮舒服	57
内饰比较喜欢	57
大灯很犀利	57
隔音不太好	57
操控不好	56
方向盘容易	56
过弯很好	56
价位低	56
风噪较大	56
外观高大	56
舒适度很不错	56
手感还不错	56
自动挡好	56
味道小	56
空间满分	56
动力相当不错	56
起步不肉	56
方向盘塑料	56
动力不好	56
材质很好	55
舒适度很高	55
风格独特	55
地盘偏硬	55
气味有点大	55
后备箱不够	55
储物空间很大	55
性能舒适	55
异味有点大	55
外观精致	55
储物空间满意	55
操控性还不错	55
操控没得说	55
外观拉风	55
天窗超大	55
后排不足	55
搭配很好	54
噪音好	54
噪音比较小	54
外观比较时尚	54
变速箱满意	54
内饰高	54
质量很好	54
储物空间足够	54
加速很轻松	54
空间还大	54
同价位高	54
噪音偏大	54
座椅非常柔软	54
配置挺好	54
后排不好	54
乘坐足够	54
外观很霸气	54
屏幕太小	54
减震稍硬	54
后排很好	53
方向盘很轻便	53
地盘不错	53
尾灯好看	53
座椅比较好	53
外形不错	53
方向盘满意	53
全景天窗喜欢	53
起步稍肉	53
座椅较好	53
转弯大	53
声音好	53
价格大	53
前脸满意	53
空间舒服	53
变速箱很好	53
质感非常好	53
提速好	53
噪音还好	53
底盘很高	53
发动机很好	53
悬架软	53
隔音不行	52
前脸很漂亮	52
配置还不错	52
空间偏小	52
车头大气	52
档位很清晰	52
大灯好看	52
悬挂好	52
配置足够	52
味道较大	52
隔音效果非常好	52
操控性很不错	52
起步有点弱	52
加速有点肉	52
配置太低	52
价格偏高	52
提速还行	52
越野小	52
油耗很大	52
用料还行	51
显示屏大	51
外观新颖	51
转向很灵活	51
配置豪华	51
悬挂软	51
动力非常充沛	51
后备箱非常大	51
外观设计大气	51
颜值最高	51
配置舒适	51
内部空间很大	51
起步很慢	51
动力非常强劲	51
转向好	51
座椅小	51
动力很够用	51
后备箱宽敞	51
车身不错	50
发动机噪音小	50
造型犀利	50
操控性非常好	50
费用不高	50
起步太慢	50
操作不好	50
空间足	50
后排不舒服	50
做工细腻	50
显示屏超大	50
异味小	50
减震略硬	50
运动感强	50
后排遗憾	50
内饰整洁	50
视野很开阔	50
空间绝对够	50
舒适性满分	50
性价比绝对高	50
头部空间很大	49
异味满意	49
减震挺好	49
后排还行	49
马力大	49
内饰吸引	49
空调满意	49
容积大	49
舒适性不好	49
空间相当不错	49
油耗非常不错	49
音响效果很好	49
屏幕小	49
性价比挺好	49
悬挂很好	49
用料十足	49
底盘有点低	49
储物格小	49
外形很漂亮	49
仪表盘喜欢	49
车身流畅	49
视野高	49
胎噪略大	49
外观设计漂亮	49
风格不错	49
后备箱空间满意	49
过弯不错	49
车漆不错	48
外观非常时尚	48
后排轻松	48
性价比最好	48
动力不差	48
性价无敌	48
噪声大	48
中控好看	48
舒适性比较好	48
油耗有点大	48
价位合适	48
配置不少	48
方向盘沉稳	48
后备箱空间略小	48
配置大	48
性价还不错	48
外观非常大气	48
性价更高	48
定速巡航很好	48
车身抖动	48
市区油耗高	48
空调还好	48
噪音还行	48
轮毂好看	48
同价位不错	48
离合有点高	48
视线很好	48
外观挺大气	48
性价比非常不错	47
座椅很厚实	47
方向盘手感好	47
减震还不错	47
轮毂很漂亮	47
性价比杠杠	47
空间宽裕	47
黑色内饰喜欢	47
转速好	47
外观比较好看	47
空调喜欢	47
操作很轻松	47
操控很舒适	47
配置最满意	47
空调高	47
操控性挺好	47
外观不好看	47
后排不高	47
外观设计很时尚	47
座椅不好	47
性价比非常好	47
前脸很好看	46
发动机最大	46
离地间隙高	46
加速很强	46
油耗适中	46
屏幕超大	46
车身很好	46
手感挺好	46
做工比较精细	46
性价不高	46
空间不拥挤	46
转弯很好	46
外观很帅气	46
轮胎容易	46
性能很不错	46
转向很清晰	46
指向不错	46
腿部空间够用	46
后备箱满足	46
外观沉稳	46
油耗不少	46
储物小	46
离合不好	46
舒适度满意	46
油耗特别低	46
天窗好	46
座椅偏短	46
质感塑料	46
静音效果好	45
搭配不错	45
座椅还好	45
舒适感不错	45
多功能方向盘很实用	45
音响好	45
气味很小	45
空间非常够用	45
舒适性还好	45
指向精确	45
提速有点肉	45
底盘够	45
内饰最喜欢	45
天窗喜欢	45
乘坐小	45
操控舒服	45
隔音非常好	45
内饰年轻	45
乘坐非常舒适	45
造型很好看	45
指向性好	45
外观挺不错	45
悬架满意	45
乘坐适合	45
中控容易	45
操控得心应手	44
手感很舒服	44
发动机足够	44
腰线完美	44
线条非常流畅	44
操控很顺手	44
内饰很舒服	44
舒适性比较满意	44
空间大气	44
手感特别好	44
车身喜欢	44
转向精确	44
配置便宜	44
后备箱比较大	44
中控漂亮	44
动力没有太大	44
排量足够	44
发动机声音较大	44
腰部很好	44
提速满意	44
前排满意	44
座椅厚实	44
同价位无敌	44
配置人性化	44
价格很满意	44
底盘比较高	44
空间不高	43
做工非常好	43
操作非常方便	43
颜值非常高	43
加速有力	43
风格简洁	43
底盘容易	43
座椅舒适度不错	43
造型大气	43
减震不太好	43
回头率杠杠	43
地盘有点硬	43
操控比较好	43
后排有点高	43
噪音不是很大	43
黑内饰喜欢	43
费用低	43
线条喜欢	43
后备箱空间比较大	43
内饰较喜欢	43
空调最大	43
座椅很棒	43
外观炫酷	43
涡轮迟滞	43
加速很不错	43
档位好	43
费用高	43
音响满意	42
外形吸引	42
中控台满意	42
造型很时尚	42
后备箱空间非常大	42
味道很小	42
用料很足	42
空间很舒适	42
ESP稳定	42
储物空间不够	42
空间担心	42
大灯完美	42
方向盘准确	42
外观够	42
后排方便	42
空调还行	42
味道比较大	42
起步弱	41
后备箱不足	41
转向良好	41
用料很实在	41
发动机声音小	41
发动机声音很小	41
外观爱	41
噪音有些大	41
隔音效果还行	41
外观较喜欢	41
储物空间好	41
车灯很漂亮	41
中控台简洁	41
加速满意	41
外观很吸引	41
隔音效果还不错	41
配置有点低	41
档位不好	41
空间完美	41
过弯很信心	41
后排差点	41
外观最吸引	41
空间很棒	41
提速肉	41
操控很强	41
腰线流畅	41
油耗还高	41
后备箱稍微小	41
轮毂漂亮	41
手感舒适	41
回头率蛮高	41
动力良好	40
空调很方便	40
价位很满意	40
座椅比较柔软	40
隔音较好	40
同价位最好	40
座椅够	40
转速很高	40
车灯漂亮	40
品质好	40
空间拥挤	40
配置很实用	40
颜色好	40
车身有点大	40
储物空间丰富	40
乘坐较舒适	40
舒适性很高	40
后排很宽松	40
后排很舒适	40
空间实在	40
配置高大	40
隔音效果很不错	40
头部空间不错	40
动力完美	40
外观设计很漂亮	40
后排有点拥挤	40
音响效果好	40
性价比极高	40
后排很轻松	40
地盘很扎实	40
座位舒服	40
空间适合	40
配置差	39
外观帅	39
定速巡航好	39
价格还行	39
乘坐很大	39
大灯很好看	39
加速肉	39
动力不是很足	39
前脸帅气	39
内饰舒服	39
内饰比较简洁	39
倒车影像清晰	39
风噪很大	39
日间行车灯很漂亮	39
发动机声音比较大	39
乘坐比较舒适	39
刹车满意	39
储物够用	39
后备箱太大	39
细节不够	39
外观挺好	39
隔音效果挺好	39
悬架很舒适	39
质量可靠	39
空间相当宽敞	39
动力比较充沛	39
外观挺喜欢	39
性价比挺不错	39
内饰不好	39
内部空间宽敞	39
价格很便宜	39
真皮座椅舒服	39
操控比较满意	39
油耗实在	39
空调肉	39
动力不弱	39
腿部空间充裕	39
新车味道大	39
价位大	39
前排合适	38
配置不低	38
性价绝对高	38
车灯好看	38
性价太高	38
造型很漂亮	38
仪表塑料	38
空间无敌	38
动力较满意	38
做工差	38
动力强悍	38
涡轮好	38
提速太慢	38
舒适度挺好	38
动力太差	38
线条很好	38
外观很年轻	38
空间很宽松	38
颜值挺高	38
起步够用	38
方向盘轻微	38
异味重	38
大灯不错	38
操控大	38
动力舒适	38
手感舒服	38
外观设计好看	38
电子助力好	38
发动机噪音比较大	38
运动感时尚	38
操控满分	38
座椅很宽大	38
加速还不错	37
配置高级	37
噪音控制好	37
空调够用	37
视野也好	37
成本高	37
指向很准确	37
内饰非常好	37
外观很赞	37
转向还行	37
底盘比较硬	37
内饰非常漂亮	37
线性不错	37
油耗有点偏高	37
气格栅大	37
造型漂亮	37
胎噪有些大	37
尾灯不错	37
用料很扎实	37
隔音还好	37
做工还好	37
造型新颖	37
乘坐很好	37
动力适合	37
内饰实用	37
空间挤	37
车身比较重	37
座位好	37
空间比较不错	37
天窗漏水	37
内空间足够	37
空间稍微小	37
后排挺宽敞	37
转速有点高	37
内饰全新	37
行灯很漂亮	37
线条不错	37
车身线条很流畅	37
舒适性很棒	37
气味很大	37
内饰很高级	37
座椅完美	37
底盘大	36
做工非常精细	36
操作灵活	36
起步还行	36
动力挺满意	36
外观硬朗	36
车灯犀利	36
耗油高	36
马力够用	36
噪音稍大	36
方向盘略重	36
性价比满分	36
档位高	36
大屏不错	36
尺寸很大	36
质量稳定	36
噪声有点大	36
样子好看	36
方向盘指向准确	36
做工较好	36
动力较好	36
内饰很强	36
路感较清晰	36
做工比较精致	36
动力超强	36
车身低	36
手感不好	36
内饰赞	36
空间差	36
动力满分	35
底盘喜欢	35
多功能方向盘很方便	35
前排足够	35
离合太高	35
隔音效果不太好	35
车灯不错	35
配置贵	35
转向大	35
乘坐满足	35
外观最爱	35
风格适合	35
转向轻便	35
腿部空间很宽敞	35
异响满意	35
风噪比较大	35
材质硬	35
地盘很稳	35
仪表喜欢	35
动力方面不错	35
加速较慢	35
价格很不错	35
底盘比较稳	35
乘坐拥挤	35
配置比较满意	35
颜色不错	35
声音挺大	35
仪表盘很漂亮	35
价位适中	35
前脸不错	35
音响很棒	35
油耗挺好	35
内空间宽敞	35
漆面太薄	35
空调有点肉	35
离合高	35
座椅较硬	34
过弯稳	34
油耗感人	34
舒适性大	34
用料塑料	34
地盘硬	34
材料硬	34
价位很好	34
搭配完美	34
异味太大	34
路感好	34
价格有点高	34
按键喜欢	34
后备箱特别大	34
轮毂很好看	34
材料不错	34
操控很稳	34
外观赞	34
内饰最大	34
动力行	34
材料好	34
外观很棒	34
路感很强	34
操控性较好	34
方向盘轻便	34
搭配喜欢	34
油耗较大	34
操控较满意	34
备胎喜欢	34
性价比喜欢	34
做工非常精致	34
车身稳	34
腰线喜欢	34
内饰新颖	34
气味太大	34
隔音效果差	34
内饰很简洁	34
后备箱不是很大	34
内饰很高档	34
内饰挺漂亮	34
空调挺快	34
车身很稳定	34
油耗特别满意	34
性价比很满意	34
外形很好看	34
配置厚道	34
提速优秀	34
车身略大	34
空间值得	33
操控非常棒	33
后备箱空间较大	33
方向盘挺好	33
操作很顺手	33
车窗好	33
材质好	33
内饰舒适	33
座椅太硬	33
后排合适	33
后排有点硬	33
尾灯很好看	33
座椅足够	33
内饰小	33
发动机声音不好	33
加速慢慢	33
后排较高	33
舒适度非常好	33
车身好看	33
手感沉稳	33
空间比较小	33
换挡不错	33
头部空间很好	33
尺寸够	33
发动机噪音较大	33
油表不准	33
悬架有些硬	33
音质好	33
中控台不错	33
空间很富裕	33
发动机噪音很小	33
起步略肉	33
配置不高	33
空间有限	33
动力很大	33
外观挺时尚	32
噪音控制舒服	32
动力稳定	32
方向盘手感很不错	32
舒适感很好	32
动力比较肉	32
提速很慢	32
后排不行	32
内饰温馨	32
减震太差	32
导航鸡肋	32
倒车方便	32
外观还好	32
底盘非常稳	32
过弯好	32
起步轻松	32
换挡好	32
性价满分	32
手感还行	32
内饰低调	32
油耗相对高	32
回头率特别高	32
导航方便	32
提速不是很快	32
刹车软	32
做工挺精细	32
内饰没话说	32
胎噪偏大	32
方向盘比较重	32
车尾喜欢	32
油耗偏低	32
尾部饱满	32
操控轻便	32
提速够用	32
导航满意	32
价格太高	32
隔音差点	32
车身宽大	32
