feature	类别
车身线	外观
车身线条	外观
车身造型	外观
车体	外观
车头	外观
车尾	外观
尺寸	空间
窗户	舒适性
大灯	外观
灯光	外观
风格	内饰
高度	空间
后轮	舒适性
后视镜	外观
回头率	外观
宽度	空间
离地间隙	行驶/操控
流线	外观
轮毂	外观
扭矩	动力
漆面	外观
气格栅	外观
前车	外观
前大灯	外观
前脸	外观
体型	外观
外表	外观
外观	外观
外观设计	外观
外观颜值	外观
外貌	外观
外形	外观
尾灯	外观
雾灯	外观
线条	外观
线性	外观
颜色	内饰
颜值	外观
样式	外观
样子	外观
腰部	外观
腰线	外观
油漆	外观
造型	外观
长度	空间
轴距	空间
转向灯	外观
车门	外观
倒车灯	外观
行车灯	外观
后轮距	外观
近光灯	外观
前轮距	外观
前雾灯	外观
远光灯	外观
油门	动力
耗油	油耗
节油	油耗
排量	动力
排气	油耗
排气管	外观
燃油	油耗
省油	油耗
市区油耗	油耗
油表	油耗
油耗	油耗
油耗方面	油耗
油箱	油耗
排放	油耗
油箱容积	油耗
品质	质量
故障率	质量
维修保养	质量
质量	质量
故障	质量
毛病	质量
小毛病	质量
车联网互联	智能体验
陡坡缓降	智能体验
上坡辅助	智能体验
倒车影像	智能体验
定速巡航	智能体验
多功能方向盘	智能体验
多媒体车机	智能体验
功能方向盘	智能体验
行车电脑	智能体验
行车记录仪	智能体验
流媒体后视镜	智能体验
全景摄像头	智能体验
手机互联	智能体验
原片全屏	智能体验
自适应巡航	智能体验
夜视系统	智能体验
语音识别	智能体验
后视镜自动折叠	价格/配置
后视镜加热	价格/配置
